id,name,nameDistrict,nameDepartment,attributes,price_hour,price_part_time,price_daily,latitude,longitude,date_updated
373,MN dental,Magdalena del Mar,Lima,,30,110,200,-12.090918577767383,-77.0568366813234,2026-01-25
360,Centro Odontológico Mayta,La Molina,Lima,,35,120,220,-12.07083631799918,-76.95630946308601,2026-01-25
354,Consultorio 2 de mayo,Miraflores,Lima,,30,100,180,-12.117890653447716,-77.03403603649151,2026-01-25
353,Pueblo Libre,Pueblo Libre,Lima,,25,,,-12.090790323299103,-77.02524137178129,2026-01-25
352,Consultorio Av.la Molina,La Molina,Lima,,30,110,,-12.067983384249288,-76.95811299608256,2026-01-25
350,Chacarilla,Santiago de Surco,Lima,,30,100,230,-12.090790323299103,-77.02524137178129,2026-01-25
346,DENTAL BOUTIQUE,Barranco,Lima,,35,120,250,-12.090790323299103,-77.02524137178129,2026-01-25
343,Consultorio Grecia,Barranco,Lima,,25,90,150,-12.090790323299103,-77.02524137178129,2026-01-25
304,Evoluteeth,Miraflores,Lima,,60,,,-12.1213736,-77.0185054,2026-01-25
303,Centro Odontológico Especializado ,La Molina,Lima,,35,120,220,-12.0654156,-76.9448725,2026-01-25
302,ALQUILER Consultorio Dental,San Borja,Lima,,,,,-12.083799676855683,-76.98957603424788,2026-01-25
298,Clínica Odontologico Jesús Maria,Jesús María,Lima,,35,,,-12.082429271904713,-77.05809373408556,2026-01-25
297,LAZARTE DENT,San Martín de Porres,Lima,,23,,,-12.0262458,-77.08653749999999,2026-01-25
296,DV ODONTOLOGIA,Barranco,Lima,,25,100,200,-12.136915157387941,-77.02237743884326,2026-01-25
294,Sonríe,Ate,Lima,,30,,,-12.075372558882826,-76.98709733784199,2026-01-25
292,RWdental,Miraflores,Lima,,25,,,-12.1241149,-77.031272,2026-01-25
292,RWdental,Miraflores,Lima,,25,,,-12.1241149,-77.031272,2026-01-25
291,Consultorio Alguaciles ,Santiago de Surco,Lima,,35,,,-12.1283859,-76.978534,2026-01-25
289,Clínica Zárate,San Juan de Lurigancho,Lima,,35,90,,-12.02769029110761,-77.00889263302088,2026-01-25
288,Consultorio Miraflores,Miraflores,Arequipa,,15,,,-16.393331206319186,-71.51241537183523,2026-01-25
288,Consultorio Miraflores,Miraflores,Arequipa,,15,,,-16.393331206319186,-71.51241537183523,2026-01-25
287,Inclan Coworking,Miraflores,Lima,,30,,,-12.118988811090276,-77.03143391758204,2026-01-25
284,consultorio Prima-Vera,Santiago de Surco,Lima,,30,,,-12.111567223835744,-76.99288252741098,2026-01-25
283,Consultorio Odontologico Salud,Jesús María,Lima,,25,,,-12.073418848588608,-77.03860480338335,2026-01-25
282,Consultorio Dental Rosa Toro,San Luis,Lima,,30,,,-12.0793278,-76.99382299999999,2026-01-25
281,Consultorio La Victoria ,La Victoria,Lima,,35,,,-12.0843062,-77.00737219999999,2026-01-25
278,Alquilo Consultorio Estético,Arequipa,Arequipa,,35,,,-16.409994333822343,-71.52742467820644,2026-01-25
277,Alquilo Consultorio Dental,Arequipa,Arequipa,,35,,,-16.409994333822343,-71.52742467820644,2026-01-25
276,Policlínico Dental Salud,Ate,Lima,,25,,,-12.075539,-76.9779338,2026-01-25
272,ALQUILER CONSULTORIO SAN BORJA,San Borja,Lima,,39.5,,,-12.0868847,-76.988928,2026-01-25
271,Consultorio  ANA T.,La Molina,Lima,,35,,,-12.062991715836533,-76.94996651262045,2026-01-25
270,Centro Odontológico Especializado - Odontofb,San Miguel,Lima,,30,110,220,-12.0762909,-77.0908563,2026-01-25
268,Consultorio  Grimaldo del Solar,Miraflores,Lima,,40,,,-12.122900140541104,-77.02592834830284,2026-01-25
267,ATM Dent'z ,Wanchaq,Cusco,,,,,-13.5341521,-71.9607291,2026-01-25
265,Consultorio Dental BELLEZA Y ESTÉTICA DENTAL,Chiclayo,Lambayeque,,,,,-6.7940923,-79.8377275,2026-01-25
263,Consultorio Gran Chimu ,San Juan de Lurigancho,Lima,,30,,,-12.0233098,-76.9882647,2026-01-25
262,Dental Córdova,La Molina,Lima,,30,,,-12.0685778,-76.9431635,2026-01-25
261,Consultorio León Miraflores,Miraflores,Lima,,40,,,-12.1274646,-77.0240125,2026-01-25
260,Acedent Consultorio Dental,San Martín de Porres,Lima,,30,,,-11.9734475,-77.0894221,2026-01-25
256,Santa Anita Dent,Santa Anita,Lima,,30,,,-12.074995850287497,-77.071454487741,2026-01-25
252,Consultorio Casimiro,Surquillo,Lima,,25,,,-12.1126429,-77.0014265,2026-01-25
250,Consultorio Rios Dental,San Juan de Miraflores,Lima,,25,,,-12.165827239946498,-76.97468742728233,2026-01-25
248,CONSULTORIO BARRANCO,Barranco,Lima,,35,,,-12.13818793196102,-77.02228758484125,2026-01-25
245,Odontologos Magdalena,Magdalena del Mar,Lima,,30,,,-12.092789424864101,-77.0643825083971,2026-01-25
244,Consultorio ChaveZ,Ate,Lima,,25,,,-12.093849645093206,-77.04909525811672,2026-01-25
243,Odontología León Comas ,Comas,Lima,,25,,,-11.9408963,-77.04921519999999,2026-01-25
242,Odontología León,Los Olivos,Lima,,25,90,200,-11.9905581,-77.06959169999999,2026-01-25
241,Dental Huamachuco,Jesús María,Lima,,35,,,-12.080352013127401,-77.05267030745745,2026-01-25
240,Consultorio Constructores,La Molina,Lima,,30,100,,-12.0677708,-76.9577556,2026-01-25
239,ODONTO-FLORIDO,Miraflores,Lima,,35,,,-12.118946524362341,-77.02991779893635,2026-01-25
238,Consultorio del Aguila,Miraflores,Lima,,30,,,-12.1070764733046,-77.03114792704582,2026-01-25
237,Servicios De Salud Odontologicos ,Villa El Salvador,Lima,,36,,,-12.2295898,-76.9207757,2026-01-25
232,Centro Odontológico S&Z,Cerro Colorado,Arequipa,,30,,,-16.3840504,-71.56917299999999,2026-01-25
231,Dental LUQUE Chaclacayo,Chaclacayo,Lima,,,,,-11.9784961,-76.7819325,2026-01-25
230,Doctor Brackets,Chiclayo,Lambayeque,,35,,,-6.7707381,-79.84467479999999,2026-01-25
229,Consultorio Odontológico,San Juan de Miraflores,Lima,,30,,,-12.16245732994236,-76.96267448365688,2026-01-25
228,Biosmile Coworking,Miraflores,Lima,,30,,,-12.1106592,-77.0298092,2026-01-25
225,COE SORISSO MC,Yanahuara,Arequipa,,50,,,-16.4016613,-71.5510887,2026-01-25
222,Consultorio GAB,Miraflores,Lima,,30,,,-12.09446400702525,-77.04895343631506,2026-01-25
217,JR Dent,San Juan de Miraflores,Lima,,23,,,-12.148446935030963,-76.94776374846697,2026-01-25
216,Vidanti,Miraflores,Lima,,30,,,-12.1011576,-77.0017558,2026-01-25
213,Centro Médico San Gabriel,Wanchaq,Cusco,,55,,,-13.5255851,-71.952951,2026-01-25
212,Arequipa Dental Center,Arequipa,Arequipa,,35,,,-16.399652735956405,-71.53295271098614,2026-01-25
206,Alquiler Miraflores: 3 veces por semana,Miraflores,Lima,,1120,,,-12.1195139,-77.0303098,2026-01-25
205,Centro Odontologico Franco Peruano,San Isidro,Lima,,56,,,-12.107215796213179,-77.04047329723835,2026-01-25
204,Consultorio Odontológico Colmenarez,Tarapoto,San Martín,,35,,,-6.474320764270433,-76.37254994362593,2026-01-25
203,Centro Odontológico Umacollo,Arequipa,Arequipa,,30,100,180,-16.4037906,-71.54885639999999,2026-01-25
202,Bio Dent Cusco,Cusco,Cusco,,45,,,-13.5238132,-71.9612135,2026-01-25
201,Consultorio  Brasil,Magdalena del Mar,Lima,,30,,,-12.090109350348845,-77.06636734306812,2026-01-25
193,Centro Odontológico La Molina,La Molina,Lima,,35,,,-12.062951,-76.94998029999999,2026-01-25
191,La Mueca Lince,Lince,Lima,,30,,,-12.08659685484637,-77.03991673886777,2026-01-25
190,Alquiler De Consultorios,La Perla,Callao,,30,,,-12.072320187655869,-77.10939634591341,2026-01-25
189,Consultorio La Aurora,Miraflores,Lima,,35,,,-12.1221994,-77.0106507,2026-01-25
188,Dental Espinoza,Callao,Callao,,35,,,-12.019471611554012,-77.09052063524723,2026-01-25
186,Centro Odontológicos San Borja ,San Borja,Lima,,35,,,-12.0998759,-76.99524219999999,2026-01-25
184,Consultorios En San Miguel,San Miguel,Lima,,40,,,-12.068414,-77.10380099999999,2026-01-25
183,Centro Dental Odontoroca,Villa María del Triunfo,Lima,,30,,,-12.170863671381413,-76.9458506628871,2026-01-25
182,Top Dental Health,Miraflores,Lima,,35,,,-12.1209069,-77.0289102,2026-01-25
180,MUECA,Cayma,Arequipa,,30,,,-16.374378253624702,-71.544475145638,2026-01-25
179,Consultorio San Luis ,San Luis,Lima,,30,,,-12.078540955548638,-76.99052922427654,2026-01-25
175,Consultorio Dental “Mi Dentista”,Alto Selva Alegre,Arequipa,,40,,,-16.38623266942484,-71.52160193771125,2026-01-25
173,Consultorio Dental Málaga,Santa Anita,Lima,,35,,,-12.0311683,-76.9550175,2026-01-25
168,CONSULTORIO DENTAL AREDENT,Miraflores,Lima,,42,,,-12.1187973,-77.02989749999999,2026-01-25
167,Centro Odontologico Huaraz ,Independencia,Áncash,,50,,,-9.522439679421382,-77.53081530332565,2026-01-25
166,Odontología Especializada Cuba ,Jesús María,Lima,,35,,,-12.075257480856381,-77.0474399998784,2026-01-25
165,Consultorio Ejército,Arequipa,Arequipa,,20,,,-16.389225994015472,-71.54844649136066,2026-01-25
162,CENTRO ODONTOLOGICO BARREDA,Sachaca,Arequipa,,56,,,-16.409745400900274,-71.56625401228666,2026-01-25
161,Dentalis,Chiclayo,Lambayeque,,30,,,-6.7799451,-79.86753600000002,2026-01-25
160,Consultorio Nazca,Jesús María,Lima,,35,,,-12.069146,-77.04503,2026-01-25
159,Misti Dent - CAYMA,Cayma,Arequipa,,,,,-16.3814272,-71.5458294,2026-01-25
158,Test,Querco,Huancavelica,,,,,-16.3868801,-71.574956,2026-01-25
153,Centro Odontológico España,Alto Selva Alegre,Arequipa,,40,,,-16.3811065,-71.5184958,2026-01-25
152,Déntica,Yanahuara,Arequipa,,50,,,-16.395718127322667,-71.55458807945251,2026-01-25
151,Petrozzi & Massa Odontologos,Santiago de Surco,Lima,,60,,,-12.112804715727146,-76.98977652937174,2026-01-25
150,Dr. Luis Díaz DENTATIVE,San Isidro,Lima,,45,,,-12.0957323,-77.0288364,2026-01-25
149,Diamante Odontologia Especializada,Mariano Melgar,Arequipa,,40,,,-16.4002577,-71.5077405,2026-01-25
